# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	2.214430e-01	6.494620e-03	2	2.178890e-01	6.278580e-03	2	1.000000e+00	9.909450e-02	2	false	GAMG	1.000000e+00	9.941020e-02	179	true
2             	smoothSolver	4.073020e-01	4.067100e-02	4	4.066620e-01	4.051380e-02	4	1.372180e-01	1.130970e-02	4	false	GAMG	9.275890e-03	9.257870e-04	68	true
3             	smoothSolver	2.926380e-01	2.619520e-02	4	2.925930e-01	2.625630e-02	4	7.214130e-02	5.250140e-03	5	false	GAMG	7.665160e-03	7.297330e-04	107	true
4             	smoothSolver	2.067620e-01	1.738550e-02	4	2.080160e-01	1.742660e-02	4	4.503630e-02	3.710410e-03	5	false	GAMG	6.715580e-03	6.408350e-04	113	true
5             	smoothSolver	1.350220e-01	1.108260e-02	4	1.352550e-01	1.104110e-02	4	3.234820e-02	2.691970e-03	5	false	GAMG	5.332790e-03	5.332260e-04	556	true
6             	smoothSolver	9.283680e-02	8.437050e-03	4	9.311620e-02	8.453340e-03	4	2.398480e-02	2.113000e-03	5	false	GAMG	4.339570e-03	4.138080e-04	109	true
7             	smoothSolver	7.232720e-02	6.764970e-03	4	7.246500e-02	6.765000e-03	4	1.899860e-02	1.724030e-03	5	false	GAMG	3.702630e-03	3.695350e-04	476	true
8             	smoothSolver	6.210170e-02	5.796660e-03	4	6.225290e-02	5.769500e-03	4	1.511720e-02	1.450760e-03	5	false	GAMG	3.348360e-03	3.193200e-04	101	true
9             	smoothSolver	5.105010e-02	4.883340e-03	4	5.096820e-02	4.875680e-03	4	1.285440e-02	1.241530e-03	5	false	GAMG	2.957370e-03	2.941650e-04	435	true
10            	smoothSolver	4.472690e-02	4.229330e-03	4	4.471020e-02	4.192820e-03	4	1.080150e-02	1.075310e-03	5	false	GAMG	2.593420e-03	2.456310e-04	99	true
11            	smoothSolver	3.658990e-02	2.350440e-03	5	3.651240e-02	2.345850e-03	5	9.480120e-03	9.371340e-04	5	false	GAMG	2.240000e-03	2.209900e-04	417	true
12            	smoothSolver	3.140230e-02	2.004820e-03	5	3.141540e-02	3.125120e-03	4	8.123450e-03	5.271830e-04	6	false	GAMG	1.936380e-03	1.907760e-04	101	true
13            	smoothSolver	2.613740e-02	1.828320e-03	5	2.650320e-02	1.900450e-03	5	7.272180e-03	4.649170e-04	6	false	GAMG	1.759150e-03	1.756220e-04	91	true
14            	smoothSolver	2.183000e-02	1.627200e-03	5	2.209040e-02	1.641110e-03	5	6.323760e-03	4.118970e-04	6	false	GAMG	1.588150e-03	1.540060e-04	93	true
15            	smoothSolver	1.852690e-02	1.444560e-03	5	1.859220e-02	1.446100e-03	5	5.603500e-03	3.663500e-04	6	false	GAMG	1.407530e-03	1.376420e-04	93	true
16            	smoothSolver	1.590950e-02	1.280810e-03	5	1.591680e-02	1.278730e-03	5	4.978650e-03	3.267710e-04	6	false	GAMG	1.233220e-03	1.226230e-04	93	true
17            	smoothSolver	1.388930e-02	1.140010e-03	5	1.389590e-02	1.137330e-03	5	4.441410e-03	2.921960e-04	6	false	GAMG	1.084110e-03	1.031500e-04	95	true
18            	smoothSolver	1.233590e-02	1.021230e-03	5	1.235390e-02	1.017120e-03	5	3.972890e-03	2.619000e-04	6	false	GAMG	9.533430e-04	9.094090e-05	95	true
19            	smoothSolver	1.096670e-02	9.205660e-04	5	1.097410e-02	9.164100e-04	5	3.559310e-03	2.352050e-04	6	false	GAMG	8.419130e-04	8.110760e-05	95	true
20            	smoothSolver	9.759110e-03	8.344090e-04	5	9.755850e-03	8.307710e-04	5	3.196230e-03	2.116120e-04	6	false	GAMG	7.516490e-04	7.245380e-05	95	true
21            	smoothSolver	8.638280e-03	7.566740e-04	5	8.628740e-03	7.535520e-04	5	2.875880e-03	1.906630e-04	6	false	GAMG	6.737550e-04	6.506410e-05	95	true
22            	smoothSolver	7.665110e-03	6.870110e-04	5	7.658740e-03	6.845590e-04	5	2.591020e-03	1.720070e-04	6	false	GAMG	6.034720e-04	5.838850e-05	95	true
23            	smoothSolver	6.858900e-03	6.243050e-04	5	6.849960e-03	6.222800e-04	5	2.337200e-03	1.553300e-04	6	false	GAMG	5.387490e-04	5.231400e-05	95	true
24            	smoothSolver	6.164500e-03	5.694540e-04	5	6.155210e-03	5.677150e-04	5	2.110900e-03	1.403900e-04	6	false	GAMG	4.793610e-04	4.714930e-05	95	true
25            	smoothSolver	5.558900e-03	5.211980e-04	5	5.550890e-03	5.197590e-04	5	1.908100e-03	1.269770e-04	6	false	GAMG	4.262920e-04	4.261730e-05	95	true
26            	smoothSolver	5.012700e-03	4.784410e-04	5	5.008500e-03	4.773700e-04	5	1.726140e-03	1.149110e-04	6	false	GAMG	3.813500e-04	3.640080e-05	97	true
27            	smoothSolver	4.534160e-03	4.401850e-04	5	4.538110e-03	4.394700e-04	5	1.563090e-03	1.040340e-04	6	false	GAMG	3.408160e-04	3.278720e-05	97	true
28            	smoothSolver	4.098920e-03	4.052680e-04	5	4.106840e-03	4.050500e-04	5	1.415310e-03	9.421090e-05	6	false	GAMG	3.050610e-04	2.987430e-05	97	true
29            	smoothSolver	3.712540e-03	2.457480e-04	6	3.721240e-03	2.457330e-04	6	1.282610e-03	8.533960e-05	6	false	GAMG	2.778910e-04	2.728300e-05	97	true
30            	smoothSolver	3.285080e-03	2.182150e-04	6	3.292420e-03	2.182130e-04	6	1.162780e-03	7.731750e-05	6	false	GAMG	2.443040e-04	2.356620e-05	99	true
31            	smoothSolver	2.969470e-03	1.986920e-04	6	2.976690e-03	1.987350e-04	6	1.054710e-03	7.006080e-05	6	false	GAMG	2.176780e-04	2.150000e-05	99	true
32            	smoothSolver	2.696480e-03	1.813180e-04	6	2.701070e-03	1.813210e-04	6	9.563500e-04	6.349010e-05	6	false	GAMG	1.959430e-04	1.871130e-05	101	true
33            	smoothSolver	2.453420e-03	1.652660e-04	6	2.457080e-03	1.652670e-04	6	8.678020e-04	5.754440e-05	6	false	GAMG	1.762310e-04	1.676190e-05	405	true
34            	smoothSolver	2.225980e-03	1.499430e-04	6	2.229980e-03	1.500690e-04	6	7.870850e-04	5.215790e-05	6	false	GAMG	1.583720e-04	1.564460e-05	375	true
35            	smoothSolver	2.017840e-03	1.357280e-04	6	2.019490e-03	1.356750e-04	6	7.142100e-04	4.728360e-05	6	false	GAMG	1.424280e-04	1.381440e-05	347	true
36            	smoothSolver	1.834600e-03	1.228770e-04	6	1.835320e-03	1.227720e-04	6	6.482310e-04	4.287090e-05	6	false	GAMG	1.278070e-04	1.274260e-05	357	true
37            	smoothSolver	1.669110e-03	1.113180e-04	6	1.669660e-03	1.112170e-04	6	5.880320e-04	3.887140e-05	6	false	GAMG	1.150180e-04	1.149160e-05	441	true
38            	smoothSolver	1.521820e-03	1.010300e-04	6	1.522200e-03	1.009010e-04	6	5.335630e-04	3.524790e-05	6	false	GAMG	1.035310e-04	9.973710e-06	105	true
39            	smoothSolver	1.390150e-03	9.172160e-05	6	1.389940e-03	9.149050e-05	6	4.841810e-04	3.196530e-05	6	false	GAMG	9.349620e-05	9.017600e-06	105	true
40            	smoothSolver	1.273170e-03	8.366620e-05	6	1.273090e-03	8.351630e-05	6	4.391230e-04	2.898780e-05	6	false	GAMG	8.448610e-05	8.112400e-06	105	true
41            	smoothSolver	1.166040e-03	7.668550e-05	6	1.165730e-03	7.651000e-05	6	3.983190e-04	2.628750e-05	6	false	GAMG	7.637510e-05	7.294830e-06	105	true
42            	smoothSolver	1.068640e-03	7.060100e-05	6	1.068070e-03	7.042410e-05	6	3.612810e-04	2.383580e-05	6	false	GAMG	6.912320e-05	6.903340e-06	103	true
43            	smoothSolver	9.779540e-04	6.511620e-05	6	9.770690e-04	6.495480e-05	6	3.275820e-04	2.160890e-05	6	false	GAMG	6.280450e-05	6.188330e-06	103	true
44            	smoothSolver	8.955460e-04	6.006930e-05	6	8.946960e-04	5.990180e-05	6	2.971170e-04	1.958790e-05	6	false	GAMG	5.701680e-05	5.475950e-06	103	true
45            	smoothSolver	8.207210e-04	5.539960e-05	6	8.195930e-04	5.523640e-05	6	2.693640e-04	1.775200e-05	6	false	GAMG	5.179630e-05	5.111670e-06	101	true
46            	smoothSolver	7.518420e-04	5.109390e-05	6	7.505100e-04	5.096080e-05	6	2.441100e-04	1.608410e-05	6	false	GAMG	4.717640e-05	4.541690e-06	101	true
47            	smoothSolver	6.895720e-04	4.711670e-05	6	6.883010e-04	4.698680e-05	6	2.212900e-04	1.457020e-05	6	false	GAMG	4.289390e-05	4.257240e-06	99	true
48            	smoothSolver	6.325310e-04	4.348320e-05	6	6.312320e-04	4.337550e-05	6	2.004690e-04	1.319460e-05	6	false	GAMG	3.911360e-05	3.803060e-06	99	true
49            	smoothSolver	5.809620e-04	4.015980e-05	6	5.799060e-04	4.005920e-05	6	1.816520e-04	1.194560e-05	6	false	GAMG	3.556340e-05	3.524580e-06	89	true
50            	smoothSolver	5.401470e-04	3.720950e-05	6	5.391950e-04	3.708060e-05	6	1.642370e-04	1.080870e-05	6	false	GAMG	3.275250e-05	3.220130e-06	193	true
51            	smoothSolver	4.995260e-04	3.431310e-05	6	4.991160e-04	3.422110e-05	6	1.488500e-04	9.778900e-06	6	false	GAMG	2.982460e-05	2.821350e-06	101	true
52            	smoothSolver	4.530240e-04	3.192340e-05	6	4.521840e-04	3.188420e-05	6	1.354950e-04	8.849810e-06	6	false	GAMG	2.638650e-05	2.527820e-06	97	true
53            	smoothSolver	4.138910e-04	2.945870e-05	6	4.134770e-04	2.941900e-05	6	1.219100e-04	7.995670e-06	6	false	GAMG	2.410870e-05	2.353580e-06	97	true
54            	smoothSolver	3.795910e-04	2.720530e-05	6	3.791750e-04	2.716840e-05	6	1.103340e-04	7.223080e-06	6	false	GAMG	2.201300e-05	2.155330e-06	97	true
55            	smoothSolver	3.489290e-04	2.512150e-05	6	3.487440e-04	2.508860e-05	6	9.983040e-05	6.523010e-06	6	false	GAMG	2.007130e-05	1.959550e-06	97	true
56            	smoothSolver	3.208970e-04	2.317500e-05	6	3.207960e-04	2.314630e-05	6	9.026960e-05	9.228580e-06	5	false	GAMG	1.845970e-05	1.738830e-06	95	true
57            	smoothSolver	2.880050e-04	2.077260e-05	6	2.880120e-04	2.075280e-05	6	8.156990e-05	8.357510e-06	5	false	GAMG	1.647300e-05	1.642780e-06	95	true
58            	smoothSolver	2.636100e-04	1.904190e-05	6	2.634280e-04	1.901900e-05	6	7.401410e-05	7.568550e-06	5	false	GAMG	1.504460e-05	1.471180e-06	493	true
59            	smoothSolver	2.457830e-04	1.745340e-05	6	2.462540e-04	1.745420e-05	6	6.695560e-05	6.849310e-06	5	false	GAMG	1.398220e-05	1.383390e-06	505	true
60            	smoothSolver	2.261310e-04	1.612170e-05	6	2.262130e-04	1.609550e-05	6	6.093800e-05	9.738380e-06	4	false	GAMG	1.290580e-05	1.288470e-06	473	true
61            	smoothSolver	2.002010e-04	1.418420e-05	6	2.001880e-04	1.416270e-05	6	5.523720e-05	8.862430e-06	4	false	GAMG	1.122690e-05	1.119650e-06	485	true
62            	smoothSolver	1.827630e-04	1.294810e-05	6	1.825470e-04	1.292710e-05	6	5.036900e-05	8.066610e-06	4	false	GAMG	1.014340e-05	9.997550e-07	509	true
63            	smoothSolver	1.677710e-04	1.191250e-05	6	1.675210e-04	1.189340e-05	6	4.588620e-05	7.339640e-06	4	false	GAMG	9.210900e-06	9.928100e-07	470	true
64            	smoothSolver	1.554700e-04	1.102120e-05	6	1.552700e-04	1.100140e-05	6	4.173610e-05	6.674040e-06	4	false	GAMG	8.461590e-06	9.998610e-07	443	true
65            	smoothSolver	1.452530e-04	1.022880e-05	6	1.450640e-04	1.021090e-05	6	3.798410e-05	9.546290e-06	3	false	GAMG	8.186830e-06	9.996820e-07	416	true
66            	smoothSolver	1.256290e-04	8.687260e-06	6	1.255000e-04	8.671050e-06	6	3.473630e-05	8.755770e-06	3	false	GAMG	6.973730e-06	9.943630e-07	385	true
