# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   
1             	smoothSolver	1.938290e-01	1.655880e-02	1	1.934780e-01	1.612290e-02	1	1.000000e+00	2.169120e-02	2	false
2             	smoothSolver	5.741470e-01	4.484930e-02	2	5.741870e-01	4.485680e-02	2	2.348670e-01	1.064760e-02	2	false
3             	smoothSolver	3.411740e-01	2.613730e-02	2	3.411160e-01	2.613620e-02	2	1.574600e-01	1.021420e-02	2	false
4             	smoothSolver	1.726610e-01	1.290350e-02	2	1.728190e-01	1.291770e-02	2	9.396740e-02	6.284790e-03	2	false
5             	smoothSolver	6.148010e-02	4.407020e-03	2	6.161590e-02	4.419970e-03	2	4.879470e-02	2.921190e-03	2	false
6             	smoothSolver	2.517690e-02	1.665210e-03	2	2.515600e-02	1.664020e-03	2	4.051180e-02	2.593000e-03	2	false
7             	smoothSolver	2.664850e-02	1.703550e-03	2	2.687670e-02	1.724440e-03	2	2.889680e-02	1.930980e-03	2	false
8             	smoothSolver	3.925560e-02	3.012950e-03	2	3.939650e-02	3.025990e-03	2	2.495160e-02	1.852450e-03	2	false
9             	smoothSolver	5.107480e-02	4.122620e-03	2	5.107130e-02	4.122260e-03	2	2.587200e-02	2.092660e-03	2	false
10            	smoothSolver	4.251270e-02	3.389310e-03	2	4.267490e-02	3.403290e-03	2	2.132780e-02	1.645500e-03	2	false
11            	smoothSolver	2.470300e-02	1.907010e-03	2	2.479390e-02	1.915290e-03	2	1.817090e-02	1.294550e-03	2	false
12            	smoothSolver	1.611340e-02	1.192830e-03	2	1.612610e-02	1.194020e-03	2	1.697900e-02	1.213400e-03	2	false
13            	smoothSolver	1.745740e-02	1.292140e-03	2	1.758690e-02	1.303140e-03	2	1.443410e-02	1.059610e-03	2	false
14            	smoothSolver	1.983510e-02	1.512570e-03	2	1.988660e-02	1.517440e-03	2	1.240270e-02	9.633770e-04	2	false
15            	smoothSolver	2.049450e-02	1.615980e-03	2	2.050740e-02	1.617110e-03	2	1.156880e-02	9.250360e-04	2	false
16            	smoothSolver	1.859120e-02	1.487660e-03	2	1.867520e-02	1.494750e-03	2	1.088330e-02	8.484940e-04	2	false
17            	smoothSolver	1.433090e-02	1.139520e-03	2	1.435540e-02	1.142180e-03	2	1.052690e-02	7.942420e-04	2	false
18            	smoothSolver	1.202140e-02	9.514390e-04	2	1.203160e-02	9.524980e-04	2	1.003680e-02	7.567900e-04	2	false
19            	smoothSolver	1.200240e-02	9.508950e-04	2	1.206010e-02	9.556600e-04	2	9.035590e-03	6.944890e-04	2	false
20            	smoothSolver	1.186450e-02	9.394190e-04	2	1.187920e-02	9.408450e-04	2	8.127450e-03	6.388300e-04	2	false
21            	smoothSolver	1.131450e-02	9.157860e-04	2	1.132380e-02	9.166270e-04	2	7.585550e-03	6.019960e-04	2	false
22            	smoothSolver	1.050540e-02	8.650430e-04	2	1.054230e-02	8.680340e-04	2	7.294840e-03	5.733040e-04	2	false
23            	smoothSolver	9.250140e-03	7.599490e-04	2	9.256540e-03	7.605120e-04	2	7.113530e-03	5.527270e-04	2	false
24            	smoothSolver	8.573020e-03	7.001790e-04	2	8.579740e-03	7.007860e-04	2	6.807400e-03	5.283530e-04	2	false
25            	smoothSolver	8.341370e-03	6.778770e-04	2	8.365630e-03	6.798530e-04	2	6.346650e-03	4.969600e-04	2	false
26            	smoothSolver	7.954160e-03	6.463520e-04	2	7.958380e-03	6.467280e-04	2	5.899160e-03	4.665650e-04	2	false
27            	smoothSolver	7.561590e-03	6.218340e-04	2	7.567470e-03	6.223150e-04	2	5.584640e-03	4.431610e-04	2	false
28            	smoothSolver	7.175730e-03	5.938100e-04	2	7.191750e-03	5.951440e-04	2	5.384190e-03	4.259080e-04	2	false
29            	smoothSolver	6.716280e-03	5.548540e-04	2	6.717260e-03	5.549690e-04	2	5.206220e-03	4.103940e-04	2	false
30            	smoothSolver	6.448960e-03	5.308950e-04	2	6.452780e-03	5.311850e-04	2	4.986930e-03	3.932870e-04	2	false
31            	smoothSolver	6.229930e-03	5.108970e-04	2	6.238980e-03	5.115820e-04	2	4.733020e-03	3.748240e-04	2	false
32            	smoothSolver	5.949510e-03	4.885290e-04	2	5.951070e-03	4.886400e-04	2	4.492450e-03	3.572760e-04	2	false
33            	smoothSolver	5.685440e-03	4.709420e-04	2	5.688230e-03	4.711640e-04	2	4.295390e-03	3.421810e-04	2	false
