# Wall heat-flux
# Time        	patch         	min           	max           	integral      
1             	walls	1.000000e+02	1.000000e+02	7.536378e+00
2             	walls	1.000000e+02	1.000000e+02	7.536378e+00
3             	walls	1.000000e+02	1.000000e+02	7.536378e+00
4             	walls	1.000000e+02	1.000000e+02	7.536378e+00
5             	walls	1.000000e+02	1.000000e+02	7.536378e+00
6             	walls	1.000000e+02	1.000000e+02	7.536378e+00
7             	walls	1.000000e+02	1.000000e+02	7.536378e+00
8             	walls	1.000000e+02	1.000000e+02	7.536378e+00
9             	walls	1.000000e+02	1.000000e+02	7.536378e+00
10            	walls	1.000000e+02	1.000000e+02	7.536378e+00
11            	walls	1.000000e+02	1.000000e+02	7.536378e+00
12            	walls	1.000000e+02	1.000000e+02	7.536378e+00
13            	walls	1.000000e+02	1.000000e+02	7.536378e+00
14            	walls	1.000000e+02	1.000000e+02	7.536378e+00
15            	walls	1.000000e+02	1.000000e+02	7.536378e+00
16            	walls	1.000000e+02	1.000000e+02	7.536378e+00
17            	walls	1.000000e+02	1.000000e+02	7.536378e+00
18            	walls	1.000000e+02	1.000000e+02	7.536378e+00
19            	walls	1.000000e+02	1.000000e+02	7.536378e+00
20            	walls	1.000000e+02	1.000000e+02	7.536378e+00
21            	walls	1.000000e+02	1.000000e+02	7.536378e+00
22            	walls	1.000000e+02	1.000000e+02	7.536378e+00
23            	walls	1.000000e+02	1.000000e+02	7.536378e+00
24            	walls	1.000000e+02	1.000000e+02	7.536378e+00
25            	walls	1.000000e+02	1.000000e+02	7.536378e+00
26            	walls	1.000000e+02	1.000000e+02	7.536378e+00
27            	walls	1.000000e+02	1.000000e+02	7.536378e+00
28            	walls	1.000000e+02	1.000000e+02	7.536378e+00
29            	walls	1.000000e+02	1.000000e+02	7.536378e+00
30            	walls	1.000000e+02	1.000000e+02	7.536378e+00
31            	walls	1.000000e+02	1.000000e+02	7.536378e+00
32            	walls	1.000000e+02	1.000000e+02	7.536378e+00
33            	walls	1.000000e+02	1.000000e+02	7.536378e+00
34            	walls	1.000000e+02	1.000000e+02	7.536378e+00
35            	walls	1.000000e+02	1.000000e+02	7.536378e+00
36            	walls	1.000000e+02	1.000000e+02	7.536378e+00
37            	walls	1.000000e+02	1.000000e+02	7.536378e+00
38            	walls	1.000000e+02	1.000000e+02	7.536378e+00
39            	walls	1.000000e+02	1.000000e+02	7.536378e+00
40            	walls	1.000000e+02	1.000000e+02	7.536378e+00
41            	walls	1.000000e+02	1.000000e+02	7.536378e+00
42            	walls	1.000000e+02	1.000000e+02	7.536378e+00
43            	walls	1.000000e+02	1.000000e+02	7.536378e+00
44            	walls	1.000000e+02	1.000000e+02	7.536378e+00
45            	walls	1.000000e+02	1.000000e+02	7.536378e+00
46            	walls	1.000000e+02	1.000000e+02	7.536378e+00
47            	walls	1.000000e+02	1.000000e+02	7.536378e+00
48            	walls	1.000000e+02	1.000000e+02	7.536378e+00
49            	walls	1.000000e+02	1.000000e+02	7.536378e+00
50            	walls	1.000000e+02	1.000000e+02	7.536378e+00
51            	walls	1.000000e+02	1.000000e+02	7.536378e+00
52            	walls	1.000000e+02	1.000000e+02	7.536378e+00
53            	walls	1.000000e+02	1.000000e+02	7.536378e+00
54            	walls	1.000000e+02	1.000000e+02	7.536378e+00
55            	walls	1.000000e+02	1.000000e+02	7.536378e+00
56            	walls	1.000000e+02	1.000000e+02	7.536378e+00
57            	walls	1.000000e+02	1.000000e+02	7.536378e+00
58            	walls	1.000000e+02	1.000000e+02	7.536378e+00
59            	walls	1.000000e+02	1.000000e+02	7.536378e+00
60            	walls	1.000000e+02	1.000000e+02	7.536378e+00
61            	walls	1.000000e+02	1.000000e+02	7.536378e+00
62            	walls	1.000000e+02	1.000000e+02	7.536378e+00
63            	walls	1.000000e+02	1.000000e+02	7.536378e+00
64            	walls	1.000000e+02	1.000000e+02	7.536378e+00
65            	walls	1.000000e+02	1.000000e+02	7.536378e+00
66            	walls	1.000000e+02	1.000000e+02	7.536378e+00
67            	walls	1.000000e+02	1.000000e+02	7.536378e+00
68            	walls	1.000000e+02	1.000000e+02	7.536378e+00
69            	walls	1.000000e+02	1.000000e+02	7.536378e+00
70            	walls	1.000000e+02	1.000000e+02	7.536378e+00
71            	walls	1.000000e+02	1.000000e+02	7.536378e+00
72            	walls	1.000000e+02	1.000000e+02	7.536378e+00
73            	walls	1.000000e+02	1.000000e+02	7.536378e+00
74            	walls	1.000000e+02	1.000000e+02	7.536378e+00
75            	walls	1.000000e+02	1.000000e+02	7.536378e+00
76            	walls	1.000000e+02	1.000000e+02	7.536378e+00
77            	walls	1.000000e+02	1.000000e+02	7.536378e+00
