# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	1.998660e-02	2	1.000000e+00	2.000130e-02	2	1.000000e+00	7.171670e-02	2	false	GAMG	1.000000e+00	9.981380e-02	164	true
2             	smoothSolver	6.007530e-01	3.179960e-02	2	6.031490e-01	3.183650e-02	2	1.345090e-01	7.269510e-03	3	false	GAMG	5.580890e-03	5.456370e-04	42	true
3             	smoothSolver	4.935810e-01	2.841920e-02	2	4.945630e-01	2.843320e-02	2	6.311500e-02	4.722490e-03	3	false	GAMG	4.299030e-03	4.217840e-04	42	true
4             	smoothSolver	4.255180e-01	2.255370e-02	2	4.236840e-01	2.245240e-02	2	3.693960e-02	3.227160e-03	3	false	GAMG	3.491780e-03	3.377310e-04	82	true
5             	smoothSolver	3.710200e-01	1.769700e-02	2	3.710380e-01	1.755540e-02	2	2.767990e-02	2.021170e-03	3	false	GAMG	3.215560e-03	3.103410e-04	78	true
6             	smoothSolver	3.226430e-01	1.353350e-02	2	3.227810e-01	1.353090e-02	2	1.892810e-02	1.390010e-03	3	false	GAMG	2.999880e-03	2.975740e-04	48	true
7             	smoothSolver	2.811830e-01	1.112080e-02	2	2.816640e-01	1.120140e-02	2	1.321510e-02	1.013610e-03	3	false	GAMG	2.738360e-03	2.728420e-04	50	true
8             	smoothSolver	2.551810e-01	9.250060e-03	2	2.558060e-01	9.391660e-03	2	9.794440e-03	7.635160e-04	3	false	GAMG	2.540840e-03	2.452480e-04	42	true
9             	smoothSolver	2.327260e-01	7.792660e-03	2	2.332020e-01	7.907070e-03	2	7.420310e-03	5.854930e-04	3	false	GAMG	2.363240e-03	2.278920e-04	34	true
10            	smoothSolver	2.116320e-01	6.590390e-03	2	2.119190e-01	6.658540e-03	2	5.738750e-03	4.539460e-04	3	false	GAMG	2.175710e-03	2.171530e-04	30	true
11            	smoothSolver	1.931480e-01	5.607180e-03	2	1.931920e-01	5.644530e-03	2	4.508480e-03	3.540640e-04	3	false	GAMG	1.999620e-03	1.923550e-04	30	true
12            	smoothSolver	1.763070e-01	4.838340e-03	2	1.762750e-01	4.860200e-03	2	3.618790e-03	2.776250e-04	3	false	GAMG	1.826330e-03	1.765640e-04	24	true
13            	smoothSolver	1.613600e-01	4.225440e-03	2	1.613060e-01	4.241210e-03	2	2.860390e-03	2.181490e-04	3	false	GAMG	1.670060e-03	1.654180e-04	20	true
14            	smoothSolver	1.472890e-01	3.700220e-03	2	1.472630e-01	3.722510e-03	2	2.286860e-03	1.722280e-04	3	false	GAMG	1.529550e-03	1.525540e-04	18	true
15            	smoothSolver	1.340290e-01	3.254860e-03	2	1.340450e-01	3.281440e-03	2	1.855320e-03	1.366150e-04	3	false	GAMG	1.403610e-03	1.388970e-04	16	true
16            	smoothSolver	1.217980e-01	2.883220e-03	2	1.218530e-01	2.911820e-03	2	1.508090e-03	1.088170e-04	3	false	GAMG	1.287660e-03	1.257040e-04	14	true
17            	smoothSolver	1.107480e-01	2.567740e-03	2	1.108250e-01	2.597150e-03	2	1.227430e-03	8.704320e-05	3	false	GAMG	1.181350e-03	1.143920e-04	12	true
18            	smoothSolver	1.005690e-01	2.281870e-03	2	1.006360e-01	2.311270e-03	2	1.002030e-03	6.978830e-05	3	false	GAMG	1.081620e-03	1.051530e-04	10	true
